fact_check_id,claim,instances,title
134029,"('Trump won in a landslide', 'Trump won in a landslide', [('eng', 1.0)])","[(1606252440.0, 'https://factcheck.afp.com/no-evidence-lawyers-claim-rigged-election-cost-trump-victory#26615781ba7ac5c723bdddfdd52de70b')]","('No evidence for lawyer’s claim that ‘rigged’ election cost Trump victory', 'No evidence for lawyer’s claim that ‘rigged’ election cost Trump victory', [('eng', 1.0)])"
119924,"('Si revocación de mandato en México es vinculante será ampliación de mandato', 'If the revocation of the mandate in Mexico is binding, it will be an extension of the mandate', [('spa', 1.0)])","[(1648147920.0, 'https://factual.afp.com/doc.afp.com.326U4D4#a66ddd57a884c7156e9c0e2ddac36fe9')]","('El referendo de revocación de mandato en México no contempla ampliar la gestión de López Obrador', 'The referendum to revoke the mandate in Mexico does not contemplate expanding the management of López Obrador', [('spa', 1.0)])"
45450,"('Die amerikanische Seuchenschutzbehörde CDC hat eingeräumt, dass die Existenz des Corona-Virus nicht bewiesen ist.', 'The American disease control agency CDC has admitted that the existence of the corona virus has not been proven.', [('deu', 1.0)])","[(1634515080.0, 'https://dpa-factchecking.com/germany/211015-99-608155/#0efe2581700f77b95ae0a579401bd921')]","('CDC hat Sars-CoV-2-Stämme isoliert und stellt sie der Forschung zur Verfügung', 'CDC has isolated Sars-CoV-2 strains and is making them available for research', [('deu', 1.0)])"
80344,"('La candidata de Vox en Madrid Rocío Monasterio dijo que tras la llegada de Fidel Castro a Cuba, su abuelo perdió su industria azucarera y sus esclavos que se quedaron sin empleo fijo', 'Vox candidate in Madrid Rocío Monasterio said that after the arrival of Fidel Castro in Cuba, her grandfather lost his sugar industry and his slaves who were left without permanent employment', [('spa', 1.0)])","[(1618312980.0, 'https://factual.afp.com/la-cita-sobre-los-esclavos-del-abuelo-de-monasterio-sin-empleo-fijo-en-cuba-es-una-satira#98daf3de23ecf63cf90cca7d61b9fdd7')]","('La cita sobre los “esclavos” del abuelo de Monasterio “sin empleo fijo” en Cuba es una sátira', 'The quote about the ""slaves"" of Monasterio\'s grandfather ""without permanent employment"" in Cuba is a satire', [('spa', 1.0)])"
51273,"('El poema ""Cuando la tormenta pase"" es de Mario Benedetti', 'The poem ""When the storm passes"" is by Mario Benedetti', [('spa', 1.0)])","[(1600468860.0, 'https://factual.afp.com/el-poema-conocido-como-cuando-la-tormenta-pase-no-es-de-benedetti-sino-del-cubano-alexis-valdes#b0fab8334f6fd4096a0fc788b4d2ffcd')]","('El poema conocido como “Cuando la tormenta pase” no es de Benedetti, sino del cubano Alexis Valdés', 'The poem known as ""When the storm passes"" is not by Benedetti, but by Cuban Alexis Valdés', [('spa', 1.0)])"
152561,"('[၂၀၂၀ ရွေးကောက်ပွဲမဲမသမာမှုသက်သေအထောက်အထားတွေဆိုတဲ့ပြောဆိုမှုနဲ့အတူ မီးလောင်ထားတဲ့မဲစာရွက်ပုံတွေကို Facebook မှာ အကြိမ်ပေါင်းများစွာ ပြန်လည်မျှဝေနေကြပါတယ်။]', '[Images of burned ballot papers are being shared multiple times on Facebook, with claims of evidence of vote fraud in the 2020 election.]', [('mya', 1.0)])","[(1610093880.0, 'https://factcheckmyanmar.afp.com/2015-rekeaakpaittunk-maicaarkttekiu-2020-rekeaakpaimaicaarkttemiiriuphkchiittychiuttaisttngmaa#735da4acc408aeb213808108fa69a712')]","('၂၀၁၅ ရွေးကောက်ပွဲတုန်းက မဲစာရွက်တွေကို ၂၀၂၀ ရွေးကောက်ပွဲမဲစာရွက်တွေမီးရှို့ဖျက်ဆီးတယ်ဆိုတဲ့သတင်းမှား', 'There is false information that the 2020 election ballot papers were burned in the 2015 election', [('mya', 1.0)])"
109407,"('President Trump invoked or signed the Insurrection Act on or before January 11, 2021', 'President Trump invoked or signed the Insurrection Act on or before January 11, 2021', [('eng', 1.0)])","[(1610374748.0, 'https://leadstories.com/hoax-alert/2021/01/fact-check-trump-insurrection-act.html#3f68b88c2695a92d1399b2db139d63ed')]","('Fact Check: President Donald Trump Did NOT Invoke or Sign The Insurrection Act', 'Fact Check: President Donald Trump Did NOT Invoke or Sign The Insurrection Act', [('eng', 1.0)])"
95535,"('Nurse Warns - Stay Away From Vaxxed People!', 'Nurse Warns - Stay Away From Vaxxed People!', [('eng', 1.0)])","[(1619221681.0, 'https://leadstories.com/hoax-alert/2021/04/fact-check-unvaccinated-people-do-not-need-to-stay-away-from-vaccinated-people.html#510ca83d06a0c424fe9dfb82178e6639')]","(""Fact Check: Unvaccinated People Do NOT Need To Stay Away From Vaccinated People -- mRNA Vaccines Don't Deliver Virus"", ""Fact Check: Unvaccinated People Do NOT Need To Stay Away From Vaccinated People -- mRNA Vaccines Don't Deliver Virus"", [('eng', 1.0)])"
50341,"('El Juego del Calamar o Squid Game deja un niño muerto en Colombia', 'The Squid Game or Squid Game leaves a child dead in Colombia', [('spa', 1.0)])","[(1634757960.0, 'https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9Q34XD-1#f0578f326942f04ef8e6c72b2334a53c')]","('No hay registro de una muerte en Colombia relacionada con la serie ""El juego del calamar""', 'There is no record of a death in Colombia related to the series ""The Squid Game""', [('spa', 1.0)])"
137925,"(""Une bible a été retrouvée en parfait état au fond de l'eau"", 'A Bible was found in perfect condition at the bottom of the water', [('fra', 1.0)])","[(1561143540.0, 'https://factuel.afp.com/non-ceci-nest-pas-une-livre-saint-retrouve-au-fond-de-locean#c28c207faa058c97a2d9072e31082b8a')]","('Non, ceci n’est pas un livre saint retrouvé au fond de l’océan', 'No, this is not a holy book found at the bottom of the ocean', [('fra', 1.0)])"
